site_id,sae_count,missing_pages,subject_count,reviewed_count,review_rate,missing_per_subject,target
-,12954.0,0.0,0.0,0.0,0.0,0.0,0
1059,0.0,0.0,1.0,0.0,0.0,0.0,0
1069,0.0,0.0,2.0,0.0,0.0,0.0,0
112,0.0,0.0,20.0,0.0,0.0,0.0,0
12,0.0,0.0,11.0,0.0,0.0,0.0,0
123,0.0,0.0,10.0,0.0,0.0,0.0,0
13,0.0,0.0,35.0,0.0,0.0,0.0,0
14,0.0,0.0,21.0,0.0,0.0,0.0,0
148,0.0,0.0,23.0,0.0,0.0,0.0,0
169,0.0,0.0,1.0,0.0,0.0,0.0,0
176,0.0,0.0,22.0,0.0,0.0,0.0,0
18,0.0,0.0,10.0,0.0,0.0,0.0,0
2,0.0,0.0,57.0,0.0,0.0,0.0,0
225,0.0,0.0,10.0,0.0,0.0,0.0,0
27,0.0,0.0,23.0,0.0,0.0,0.0,0
34,0.0,0.0,23.0,0.0,0.0,0.0,0
35,0.0,0.0,1.0,0.0,0.0,0.0,0
9,0.0,0.0,10.0,0.0,0.0,0.0,0
SITE-1,1.0,0.0,0.0,0.0,0.0,0.0,0
Site 1,296.0,0.0,343.0,0.0,0.0,0.0,0
Site 10,5744.0,52.0,293.0,0.0,0.0,0.17747440273037543,0
Site 100,0.0,0.0,34.0,0.0,0.0,0.0,0
Site 1000,45.0,0.0,6.0,0.0,0.0,0.0,0
Site 1001,54.0,0.0,42.0,0.0,0.0,0.0,0
Site 1002,48.0,0.0,28.0,0.0,0.0,0.0,0
Site 1003,225.0,0.0,86.0,0.0,0.0,0.0,0
Site 1004,90.0,0.0,54.0,0.0,0.0,0.0,0
Site 1005,81.0,0.0,40.0,0.0,0.0,0.0,0
Site 1006,63.0,0.0,24.0,0.0,0.0,0.0,0
Site 1007,72.0,0.0,42.0,0.0,0.0,0.0,0
Site 1008,171.0,10.0,136.0,0.0,0.0,0.07352941176470588,0
Site 1009,0.0,0.0,72.0,0.0,0.0,0.0,0
Site 101,50.0,2.0,44.0,0.0,0.0,0.045454545454545456,0
Site 1010,18.0,0.0,50.0,0.0,0.0,0.0,0
Site 1011,81.0,0.0,62.0,0.0,0.0,0.0,0
Site 1012,0.0,0.0,12.0,0.0,0.0,0.0,0
